City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,nar'yan-mar,67.6713,53.087,30.34,97,100,16.35,RU,1731558021
82,punta arenas,-53.15,-70.9167,41.11,75,0,19.57,CL,1731557785
83,vila franca do campo,37.7167,-25.4333,64.89,99,73,5.95,PT,1731558024
84,sao raimundo nonato,-9.0153,-42.6994,77.65,65,58,0.49,BR,1731558025
85,paita,-5.0892,-81.1144,63.45,89,36,8.86,PE,1731558026
86,tralee,52.2704,-9.7026,51.1,93,100,1.99,IE,1731558027
87,north lakhimpur,27.2333,94.1167,82.49,57,20,2.3,IN,1731558028
88,new norfolk,-42.7826,147.0587,65.71,34,4,7.58,AU,1731558029
89,bethel,41.3712,-73.414,35.33,67,1,2.44,US,1731557759
90,qaqortoq,60.7167,-46.0333,15.01,69,73,13.56,GL,1731558031
91,padang,-0.9492,100.3543,84.25,90,100,3.22,ID,1731558032
92,sylvan lake,52.3168,-114.0853,36.97,87,100,4.61,CA,1731558033
93,east london,-33.0153,27.9116,58.14,88,0,4.61,ZA,1731558034
94,coesfeld,51.9333,7.15,48.97,99,100,6.96,DE,1731558035
95,whitehorse,60.7161,-135.0538,20.17,86,100,6.91,CA,1731558036
96,abadeh,31.1608,52.6506,42.57,82,26,1.34,IR,1731558037
97,ho chi minh city,10.75,106.6667,89.62,64,40,10.36,VN,1731557988
98,wasagu,11.3764,5.7954,73.06,30,0,7.65,NG,1731558040
99,thompson,55.7435,-97.8558,21.36,86,0,3.44,CA,1731558041
100,namdrik,5.5994,168.1028,79.54,82,100,4.03,MH,1731558042
101,bilibino,68.0546,166.4372,-19.7,100,93,0.76,RU,1731558038
102,gadzhiyevo,69.2551,33.3362,34.0,84,67,19.82,RU,1731558045
103,waingapu,-9.6567,120.2641,90.3,57,0,15.7,ID,1731558046
104,constantia,44.1833,28.65,39.88,90,63,7.43,RO,1731558047
105,song cau,13.45,109.2167,81.09,75,100,7.36,VN,1731557998
106,hanceville,34.0607,-86.7675,58.15,89,100,15.19,US,1731558049
107,matola,-25.9622,32.4589,69.75,78,40,3.44,MZ,1731558050
108,hermanus,-34.4187,19.2345,58.8,81,7,13.15,ZA,1731558051
109,miles city,46.4083,-105.8406,41.97,45,40,11.5,US,1731558052
110,vanimo,-2.6741,141.3028,86.22,67,94,7.76,PG,1731558053
111,codrington,-38.2667,141.9667,58.17,55,91,12.24,AU,1731558054
112,manokwari,-0.8667,134.0833,84.65,68,91,11.63,ID,1731558055
